TERM;POSITION;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION
Beatriz;45884;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10241696;null;Geonames;FOUND
Algarue;46006;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Alfonso;46073;PN;FT;;;yes;APLN;;;;FOUND
Molina;46084;PN;FT;;;yes;APLN;;;;FOUND
Frederic;46106;PPN;PPT;;;;;;;;VALIDATE
Henrric;46130;PN;FT;;;;;;;;FOUND
Felipp;46153;PN;FT;;;;;;;;FOUND
Seuilla;46171;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;;null;Medieval;FOUND
Johan;46194;PN;FT;;;;;;;;FOUND
Toledo;46214;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Aboabdille;46236;PPN;PPT;;;;;;;;VALIDATE
Nazar;46253;PLN;FT;http://sws.geonames.org/6359730; ;not; ; ;null;Geonames;FOUND
Granada;46266;PLN;FT;http://sws.geonames.org/6357709;Granada;not;;;null;Medieval;FOUND
Apparicio;46306;PPN;PPT;;;;;;;;VALIDATE
Burgos;46327;PLN;FT;http://sws.geonames.org/6356377;Burgi,Burgos,Burgosas,Burgoso,Burgus,brghsh,brgws,bu er ge si,buleugoseu,bur kos,burugosu,bwrgws,Бургос,Бурґос,برغش,برگوس,بورگوس,บูร์โกส,ブルゴス,布尔戈斯,부르고스;not;;;null;Geonames;FOUND
